Wavelength nm.,MilliQ,CP2_16apr25_BOTR1,CP1_16apr25_01R2,CP1_16apr25_01R1,CC3_16apr25_01R1,CS1_16apr25_01R1,CC3_16apr25_BOTR1,CP2_16apr25_01R1,CS2_16apr25_01R1,CC4_16apr25_6R2,CC3_16apr25_15R1,CC4_16apr25_BOTR2,CC2_16apr25_01R1
395,0.001,0.006,0.007,0.007,0.004,0.006,0.006,0.005,0.005,0.004,0.005,0.004,0.004
396,0.001,0.006,0.007,0.006,0.004,0.005,0.005,0.004,0.005,0.004,0.004,0.004,0.003
397,0.001,0.006,0.007,0.006,0.004,0.005,0.005,0.004,0.005,0.004,0.004,0.004,0.003
398,0.001,0.006,0.006,0.006,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003
399,0.001,0.005,0.006,0.006,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003
400,0.001,0.005,0.006,0.006,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003
401,0.001,0.005,0.006,0.006,0.004,0.005,0.005,0.004,0.004,0.003,0.004,0.004,0.003
402,0.001,0.005,0.006,0.006,0.004,0.005,0.005,0.004,0.004,0.003,0.004,0.004,0.003
403,0.001,0.005,0.006,0.006,0.004,0.005,0.005,0.004,0.004,0.003,0.004,0.004,0.003
404,0.001,0.005,0.006,0.006,0.003,0.005,0.005,0.004,0.004,0.003,0.004,0.003,0.003
405,0.001,0.005,0.006,0.005,0.003,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003
406,0.001,0.005,0.006,0.005,0.003,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003
407,0.001,0.005,0.006,0.005,0.003,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003
408,0.001,0.005,0.005,0.005,0.003,0.005,0.004,0.003,0.004,0.003,0.003,0.003,0.002
409,0.001,0.005,0.005,0.005,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.002
410,0.001,0.005,0.005,0.005,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.002
411,0.001,0.005,0.005,0.005,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.002
412,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002
413,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002
414,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002
415,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002
416,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.002
417,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.003,0.002
418,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.002,0.002
419,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.002,0.002
420,0.001,0.004,0.005,0.005,0.003,0.004,0.004,0.003,0.003,0.002,0.003,0.002,0.002
421,0.001,0.004,0.005,0.005,0.002,0.004,0.004,0.003,0.003,0.002,0.003,0.002,0.002
422,0.001,0.004,0.005,0.004,0.002,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002
423,0.001,0.004,0.005,0.004,0.002,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002
424,0.001,0.004,0.005,0.004,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.001
425,0.001,0.004,0.004,0.004,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.002,0.001
